iter	Passed	Remaining
0	6	3061
1	12	3123
2	19	3189
3	36	4490
4	49	4909
5	63	5209
6	71	5056
7	76	4728
8	82	4509
9	88	4317
10	93	4143
11	100	4098
12	106	4003
13	115	3999
14	122	3971
15	128	3901
16	135	3857
17	142	3804
18	146	3705
19	151	3642
20	157	3584
21	162	3524
22	167	3470
23	172	3412
24	176	3358
25	178	3263
26	182	3205
27	188	3180
28	193	3141
29	198	3113
30	205	3110
31	210	3074
32	215	3047
33	220	3017
34	224	2980
35	230	2971
36	236	2955
37	240	2923
38	246	2915
39	279	3211
40	289	3241
41	296	3227
42	301	3202
43	307	3183
44	311	3152
45	317	3130
46	321	3100
47	326	3071
48	331	3049
49	336	3031
50	341	3009
51	346	2985
52	351	2963
53	356	2945
54	362	2935
55	368	2923
56	374	2911
57	383	2919
58	392	2931
59	398	2920
60	404	2911
61	410	2903
62	417	2896
63	424	2893
64	432	2897
65	439	2890
66	445	2876
67	450	2861
68	456	2852
69	462	2844
70	468	2829
71	489	2907
72	494	2891
73	500	2881
74	510	2890
75	515	2874
76	520	2859
77	526	2847
78	532	2838
79	539	2833
80	546	2824
81	558	2846
82	565	2839
83	571	2828
84	575	2812
85	583	2807
86	589	2797
87	595	2787
88	601	2776
89	607	2768
90	614	2759
91	618	2743
92	622	2724
93	627	2709
94	632	2694
95	636	2680
96	641	2663
97	645	2649
98	651	2637
99	656	2624
100	660	2611
101	665	2597
102	673	2595
103	679	2586
104	700	2635
105	709	2637
106	717	2635
107	722	2621
108	727	2609
109	732	2596
110	738	2587
111	746	2586
112	752	2577
113	761	2577
114	769	2575
115	776	2570
116	784	2567
117	791	2562
118	799	2558
119	806	2554
120	813	2547
121	820	2541
122	826	2533
123	831	2520
124	836	2509
125	842	2499
126	851	2501
127	862	2508
128	873	2512
129	882	2511
130	890	2508
131	912	2545
132	931	2569
133	942	2575
134	948	2565
135	952	2549
136	957	2537
137	962	2525
138	967	2512
139	973	2503
140	978	2491
141	983	2480
142	988	2467
143	992	2454
144	999	2446
145	1004	2435
146	1010	2425
147	1017	2420
148	1023	2410
149	1036	2417
150	1044	2414
151	1051	2407
152	1059	2402
153	1065	2393
154	1072	2387
155	1080	2383
156	1090	2383
157	1103	2389
158	1113	2387
159	1146	2435
160	1159	2440
161	1179	2460
162	1201	2483
163	1211	2481
164	1217	2472
165	1230	2476
166	1236	2465
167	1242	2454
168	1247	2443
169	1253	2433
170	1258	2421
171	1264	2410
172	1269	2400
173	1279	2396
174	1288	2393
175	1294	2382
176	1300	2373
177	1310	2371
178	1319	2365
179	1327	2360
180	1336	2355
181	1345	2351
182	1360	2356
183	1367	2347
184	1373	2338
185	1381	2331
186	1389	2325
187	1403	2329
188	1412	2323
189	1418	2314
190	1425	2306
191	1434	2301
192	1444	2298
193	1483	2340
194	1491	2333
195	1499	2326
196	1506	2317
197	1512	2307
198	1519	2297
199	1525	2288
200	1533	2281
201	1540	2272
202	1547	2264
203	1554	2254
204	1559	2244
205	1565	2234
206	1571	2224
207	1577	2214
208	1584	2205
209	1589	2195
210	1595	2185
211	1603	2178
212	1611	2172
213	1617	2161
214	1623	2152
215	1634	2148
216	1646	2147
217	1654	2139
218	1662	2133
219	1674	2131
220	1685	2128
221	1699	2128
222	1706	2119
223	1713	2111
224	1720	2103
225	1727	2093
226	1732	2084
227	1740	2075
228	1746	2066
229	1751	2056
230	1760	2050
231	1766	2040
232	1771	2030
233	1777	2020
234	1785	2012
235	1791	2004
236	1799	1996
237	1805	1987
238	1811	1978
239	1818	1970
240	1825	1962
241	1832	1954
242	1839	1945
243	1845	1935
244	1852	1927
245	1860	1920
246	1869	1914
247	1878	1908
248	1904	1919
249	1910	1910
250	1917	1902
251	1925	1894
252	1933	1887
253	1941	1880
254	1950	1874
255	1963	1871
256	1977	1869
257	1984	1861
258	1991	1853
259	1999	1845
260	2006	1837
261	2014	1830
262	2024	1824
263	2036	1820
264	2043	1812
265	2050	1803
266	2056	1794
267	2062	1785
268	2067	1775
269	2074	1767
270	2081	1759
271	2087	1749
272	2093	1740
273	2099	1732
274	2106	1723
275	2112	1714
276	2118	1705
277	2124	1696
278	2130	1687
279	2137	1679
280	2143	1670
281	2152	1664
282	2171	1664
283	2183	1660
284	2223	1677
285	2252	1685
286	2263	1680
287	2274	1674
288	2283	1667
289	2291	1659
290	2298	1650
291	2306	1642
292	2314	1635
293	2322	1627
294	2331	1620
295	2337	1611
296	2348	1605
297	2360	1600
298	2367	1591
299	2374	1582
300	2380	1573
301	2391	1568
302	2397	1559
303	2404	1550
304	2413	1542
305	2419	1534
306	2427	1525
307	2432	1516
308	2438	1507
309	2445	1498
310	2451	1490
311	2457	1481
312	2462	1471
313	2473	1464
314	2478	1455
315	2483	1445
316	2506	1447
317	2513	1438
318	2523	1432
319	2529	1422
320	2534	1413
321	2541	1404
322	2547	1395
323	2554	1387
324	2559	1378
325	2564	1369
326	2571	1360
327	2576	1351
328	2583	1342
329	2591	1334
330	2598	1326
331	2605	1318
332	2612	1310
333	2621	1302
334	2627	1294
335	2635	1286
336	2644	1278
337	2651	1270
338	2657	1262
339	2664	1253
340	2671	1245
341	2676	1236
342	2681	1227
343	2687	1218
344	2693	1210
345	2705	1204
346	2711	1195
347	2717	1186
348	2722	1177
349	2727	1168
350	2734	1160
351	2744	1153
352	2749	1144
353	2755	1136
354	2761	1127
355	2767	1119
356	2775	1111
357	2782	1103
358	2787	1094
359	2792	1085
360	2798	1077
361	2803	1068
362	2808	1060
363	2815	1052
364	2821	1043
365	2827	1035
366	2833	1026
367	2838	1018
368	2846	1010
369	2851	1001
370	2856	993
371	2861	984
372	2866	975
373	2871	967
374	2877	959
375	2883	950
376	2890	943
377	2897	935
378	2923	933
379	2928	924
380	2934	916
381	2939	908
382	2944	899
383	2950	891
384	2955	882
385	2961	874
386	2969	866
387	2975	858
388	2981	850
389	2986	842
390	2991	834
391	2997	825
392	3003	817
393	3008	809
394	3013	801
395	3019	792
396	3024	784
397	3030	776
398	3035	768
399	3040	760
400	3045	751
401	3052	744
402	3059	736
403	3066	728
404	3071	720
405	3081	713
406	3090	706
407	3096	698
408	3101	690
409	3123	685
410	3134	678
411	3138	670
412	3143	662
413	3149	654
414	3155	646
415	3161	638
416	3167	630
417	3173	622
418	3178	614
419	3183	606
420	3188	598
421	3192	590
422	3197	582
423	3204	574
424	3210	566
425	3216	558
426	3223	551
427	3231	543
428	3237	535
429	3245	528
430	3252	520
431	3257	512
432	3263	504
433	3270	497
434	3276	489
435	3282	481
436	3289	474
437	3296	466
438	3303	459
439	3325	453
440	3330	445
441	3335	437
442	3340	429
443	3345	421
444	3350	414
445	3355	406
446	3360	398
447	3365	390
448	3376	383
449	3381	375
450	3387	367
451	3392	360
452	3398	352
453	3403	344
454	3409	337
455	3416	329
456	3422	322
457	3429	314
458	3437	307
459	3443	299
460	3449	291
461	3454	284
462	3462	276
463	3467	269
464	3473	261
465	3481	254
466	3490	246
467	3496	239
468	3503	231
469	3509	224
470	3516	216
471	3522	208
472	3529	201
473	3535	193
474	3552	186
475	3558	179
476	3569	172
477	3590	165
478	3606	158
479	3612	150
480	3618	142
481	3624	135
482	3628	127
483	3635	120
484	3641	112
485	3646	105
486	3653	97
487	3659	89
488	3664	82
489	3670	74
490	3674	67
491	3679	59
492	3684	52
493	3688	44
494	3694	37
495	3700	29
496	3704	22
497	3709	14
498	3714	7
